COMUNIDADE;VOB;CAMINHO_CASO_DESENV;VERSAO;DATA_ULTIMA_ALTERACAO
SEGURANÇA;SICAL;SICAL\06-AMBIENTE\PPDS_CASO_DESENV_ESTRUT.DOC;\MAIN\1;2018-03-15
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MÃ‰TRICAS\SPN201200357\OS SP2012003354\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-01-11
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\1.INICIAÃ§Ã£O\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-01-11
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 01 Â€“ ANÃLISE E DESIGN\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-02-19
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 02 Â€“ IMPLEMENTAÃ‡ÃƑO\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-02-19
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 02 Â€“ IMPLEMENTAÃ‡ÃƑO\SIACS\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-02-19
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 03 Â€“ TESTES\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-02-19
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201200357-001\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 03 Â€“ TESTES\SIACS\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-02-19
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201303996\1.INICIAÃ§Ã£O\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-08-06
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201303996\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 01 Â€“ ANÃLISE E DESIGN\DOCEB124 - CASO DE DESENVOLVIMENTO\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-08-06
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA\SPN201303996\2.ELABORAÃ§Ã£O.CONSTRUÃ§Ã£O\FSW ENTREGA 02 Â€“ IMPLEMENTAÃ‡ÃƑO\DOCEB124 - CASO DE DESENVOLVIMENTO\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2013-08-06
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA_2014\SP201400096\1.INICIAÃ§Ã£O\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2014-01-15
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA_2014\SP201400096\2.ELABORAÃ§Ã£O\DOCEB124 - CASO DE DESENVOLVIMENTO\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2014-06-26
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICAS;SICAS\09-GER_PROJETOS\MANUTENCOES\MSA_2014\SP201400096\3.CONSTRUÃ§Ã£O\DOCEB124 - CASO DE DESENVOLVIMENTO\DOCEB124 - CASO DE DESENVOLVIMENTO.DOCX;\MAIN\1;2014-06-26
CANAIS FÍSICOS;SICCL;SICCL\06-AMBIENTE\SICCL - CASO DE DESENVOLVIMENTO.DOC;\MAIN\3;2022-08-29
ESTRUTURANTES DE TI;SICCO;SICCO\06-AMBIENTE\CASO DE DESENVOLVIMENTO_SICCO.DOC;\MAIN\2;2017-08-31
ESTRUTURANTES DE TI;SICCO;SICCO\09-GER_PROJETOS\PROJETOS\SICCO\SP201507293 - OS001\CASO DE DESENVOLVIMENTO_SICCO.DOC;\MAIN\1;2016-10-11
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICCP;SICCP\06-AMBIENTE\PROJETO 1451\DOCEB124 - CASO DE DESENVOLVIMENTO - DDA Â€“ DEBITO DIRETO AUTORIZADO  PARA A COBRANÃ‡A ELETRONICA  REMETIDA.DOC;\MAIN\1;2009-08-13
AGRONEGÓCIO;SICCR;SICCR\06-AMBIENTE\SICCR_CASO_DESENVOLVIMENTO.DOC;\MAIN\6;2016-11-07
COMUNIDADE_NAO_ENCONTRADA;SICDG;SICDG\01-REQUISITOS\SICDG_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2016-01-14
COMUNIDADE_NAO_ENCONTRADA;SICDG;SICDG\06-AMBIENTE\SICDG_CASO_DESENVOLVIMENTO.DOC;\MAIN\5;2018-11-26
COMUNIDADE_NAO_ENCONTRADA;SICDG;SICDG\09-GER_PROJETOS\PROJETOS\CERTIFICAÃ§Ã£O DIGITAL\METRICAS\SP201503705_0001_A_0009\RASP_ADERENCIA_CASO_DESENVOLVIMENTO_SICDG_TM.DOC;\MAIN\1;2016-04-01
FUNDOS DE GOVERNO;SICDM;SICDM\06-AMBIENTE\CASO_DESENVOLVIMENTO_AGIL_SICDM.DOC;\MAIN\1;2022-08-04
COMUNIDADE_NAO_ENCONTRADA;SICDS;SICDS\09-GER_PROJETOS\PROJETOS\4764\SICDS_PPDS_CASO_DESENV_AGIL.DOC;\MAIN\1;2018-03-06
AGRONEGÓCIO;SICDT;SICDT\06-AMBIENTE\SICDT_CASO_DESENVOLVIMENTO.DOC;\MAIN\10;2016-11-17
SEGURANÇA;SICDU;SICDU\06-AMBIENTE\SICDU_CASO_DESENVOLVIMENTO.DOC;\MAIN\4;2016-07-14
SEGURANÇA;SICDU;SICDU\06-AMBIENTE\SICDU_CHECKLIST_CASO_DESENVOLVIMENTO.XLS;\MAIN\3;2011-01-26
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICEA;SICEA\06-AMBIENTE\CEA.CASO_DE_DESENVOLVIMENTO.DOC;\MAIN\1;2013-10-31
MEIOS DE PAGAMENTO;SICES;SICES\06-AMBIENTE\DOCEB124 - CASO DE DESENVOLVIMENTO - SICES.DOC;\MAIN\1;2011-01-18
MEIOS DE PAGAMENTO;SICES;SICES\08-GER_CONFIG_MUDANCA\DOCEB124 - CASO DE DESENVOLVIMENTO - SICES.DOC;\MAIN\1;2011-07-15
MEIOS DE PAGAMENTO;SICES;SICES\09-GER_PROJETOS\MANUTENCOES\STEFANINI\@DOCUMENTAÃ§Ã£O ATUAL\DOCEB124 - CASO DE DESENVOLVIMENTO - SICES.DOC;\MAIN\1;2012-03-02
MEIOS DE PAGAMENTO;SICES;SICES\09-GER_PROJETOS\MANUTENCOES\STEFANINI\@DOCUMENTAÃ§Ã£O ATUAL\MODELO DE ARQUITETURA DE SOLUÃ‡ÃƑO\DOCEB124 - CASO DE DESENVOLVIMENTO - SICES.DOC;\MAIN\1;2011-06-10
MEIOS DE PAGAMENTO;SICES;SICES\09-GER_PROJETOS\METRICAS\BASELINE DE PRODUÃ§Ã£O\ARTEFATOS DE CONTAGEM\DOCEB124 - CASO DE DESENVOLVIMENTO - SICES.DOC;\MAIN\1;2011-09-29
DEPÓSITOS E CAPTAÇÃO;SICET;SICET\06-AMBIENTE\PROJETO 3494\CASO DE DESENVOLVIMENTO_SICET_PF.XLS;\MAIN\1;2009-09-04
DEPÓSITOS E CAPTAÇÃO;SICET;SICET\06-AMBIENTE\PROJETO 3494\SICET PF - CASO DE DESENVOLVIMENTO.DOC;\MAIN\1;2009-09-18
COMUNIDADE_NAO_ENCONTRADA;SICFA;SICFA\06-AMBIENTE\CASO_DESENVOLVIMENTO.DOC;\MAIN\2;2014-05-07
COMUNIDADE_NAO_ENCONTRADA;SICFA;SICFA\09-GER_PROJETOS\PROJETOS\3008_ESCOPO_1\CASO_DESENVOLVIMENTO.DOC;\MAIN\3;2013-10-08
FUNDOS DE GOVERNO;SICFD;SICFD\06-AMBIENTE\SICFD_CASO_DESENV_AGIL.DOC;\MAIN\1;2022-05-16
CÂMBIO, INVESTIMENTOS E MERCADO DE CAPITAIS;SICFI;SICFI\06-AMBIENTE\SICFI-PPDS_CASO_DESENV_AGIL.DOC;\MAIN\1;2022-08-12
FUNDOS DE GOVERNO;SICFM;SICFM\06-AMBIENTE\PPDS_CASO_DESENV_AGIL_SICFM.DOC;\MAIN\1;2022-07-25
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICGB;SICGB\06-AMBIENTE\SICGB_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2022-09-28
CLIENTES;SICHC;SICHC\05-IMPLANTACAO\SICHC_CASO_DESENV_AGIL.DOC;\MAIN\1;2017-12-18
CLIENTES;SICIS;SICIS\06-AMBIENTE\CEDESRJ100_SICIS_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2019-04-30
CLIENTES;SICLI;SICLI\06-AMBIENTE\PPDS_CASO_DESENV_AGIL.DOC;\MAIN\1;2022-08-12
CLIENTES;SICLI;SICLI\06-AMBIENTE\PPDS_CASO_DESENV_AGIL_V2.DOC;\MAIN\1;2022-08-12
CLIENTES;SICLI;SICLI\09-GER_PROJETOS\PROJETOS\2702\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2009-05-22
CLIENTES;SICLI;SICLI\09-GER_PROJETOS\PROJETOS\2898\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\3;2009-04-16
CLIENTES;SICLI;SICLI\09-GER_PROJETOS\PROJETOS\3166\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\2;2009-04-13
FUNDOS DE GOVERNO;SICMU;SICMU\06-AMBIENTE\PPDS_CASO_DESENV_SICMU.DOC;\MAIN\8;2016-06-23
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\DOCEB124_CASO_DESENVOLVIMENTO_01122008.DOC;\MAIN\1;2009-01-09
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\DOCEB124_CASO_DESENVOLVIMENTO_10042007.DOC;\MAIN\1;2010-04-09
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\DOCEB124_CASO_DESENVOLVIMENTO_16062006.DOC;\MAIN\1;2010-04-09
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\DOCEB124_CASO_DESENVOLVIMENTO_20122006.DOC;\MAIN\1;2010-04-09
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\DOCEB124_CASO_DESENVOLVIMENTO_21092006.DOC;\MAIN\1;2010-04-09
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\EVIDENCIAS\DOCEB30_EVIDENCIA_APROV_CASO_DESENVOLVIMENTO_V1.DOC;\MAIN\1;2010-04-12
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\2719\EVIDENCIAS\DOCEB30_EVIDENCIA_APROV_CASO_DESENVOLVIMENTO_V2.DOC;\MAIN\1;2010-04-12
FUNDOS DE GOVERNO;SICNL;SICNL\09-GER_PROJETOS\PROJETOS\3017\DOCEB124_CASO_DESENVOLVIMENTO_SUATP.DOC;\MAIN\1;2010-04-19
CANAIS FÍSICOS;SICNR;SICNR\06-AMBIENTE\CASO_DE_DESENVOLVIMENTO.DOC;\MAIN\2;2017-05-22
COMUNIDADE_NAO_ENCONTRADA;SICNS_AR;SICNS_AR\06-AMBIENTE\CASO_DESENV_SICNS_JUSTIFICATIVA.DOC;\MAIN\1;2017-02-17
COMUNIDADE_NAO_ENCONTRADA;SICNS_AR;SICNS_AR\06-AMBIENTE\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2008-11-26
COMUNIDADE_NAO_ENCONTRADA;SICNS_ICP;SICNS_ICP\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\SICNS_V2\PPDS_CASO_DESENV_AGIL-V2.ODT;\MAIN\1;2022-08-25
COMUNIDADE_NAO_ENCONTRADA;SICNS_ICP;SICNS_ICP\09-GER_PROJETOS\PROJETOS\3751\ACORDOS_ENVOLVIDOS\PPDS_CASO_DESENV_AGIL.DOC;\MAIN\1;2022-08-18
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\06-AMBIENTE\CASO DE DESENVOLVIMENTO\PPDS_CASO DE DESENVOLVIMENTO_3664_SICOB.DOC;\MAIN\6;2010-11-10
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB 124 - SIMDP 2864 - SISOL 117423 - CASO DE DESENVOLVIMENTO V 1.DOC;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB 124 - SIMDP 2864 - SISOL 117423 - CASO DE DESENVOLVIMENTO.DOC;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB 124 - SIMDP 2864 - SISOL 117423 - CASO DE DESENVOLVIMENTO.DOC.MKELEM;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB124 - CASO DE DESENVOLVIMENTO[1] REVISÃ£O 5.DOC;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB124 - CASO DE DESENVOLVIMENTO[1] REVISÃ£O 5.DOC.MKELEM;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB124 - CASO DE DESENVOLVIMENTO[1].DOC;\MAIN\2;2008-05-07
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICOB;SICOB\09-GER_PROJETOS\PROJETOS\CONSTRUGIRO\2.4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB124 - CASO DE DESENVOLVIMENTO[1].DOC.MKELEM;\MAIN\2;2008-05-07
CLIENTES;SICOP;SICOP\04-TESTES\HMP_TQS_PRD\DOCEB47A_CASOS_TESTE_HMP\DOCEB47A_CASOS_TESTE_HMP_SUDENE_SUP_NAC_DESENV_ECONOMICO_5507.XLS;\MAIN\2;2009-04-29
CLIENTES;SICPC;SICPC\06-AMBIENTE\PPDS_CASO_DESENV_AGIL.DOC;\MAIN\1;2022-08-12
CLIENTES;SICPC;SICPC\06-AMBIENTE\PPDS_CASO_DESENVOLVIMENTO_UNIFICADO_SICPC_V1.0.DOC;\MAIN\1;2013-07-11
CLIENTES;SICPF;SICPF\06-AMBIENTE\SICPF_PPDS_CASO_DESENV_AGIL_3.DOC;\MAIN\1;2022-08-12
CLIENTES;SICPF;SICPF\09-GER_PROJETOS\PROJETOS\1604\DOCEB124_CASO_DESENVOLVIMENTO\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\3;2009-11-27
DEPÓSITOS E CAPTAÇÃO;SICPJ;SICPJ\06-AMBIENTE\SICET-SUCPJ - DOCEB124 - CASO DE DESENVOLVIMENTO.DOC;\MAIN\15;2010-03-24
CANAIS DIGITAIS;SICPU;SICPU\09-GER_PROJETOS\PROJETOS\4496\SICPU_PPDS_CASO_DESENV_AGIL.DOC;\MAIN\2;2018-03-02
CÂMBIO, INVESTIMENTOS E MERCADO DE CAPITAIS;SICQL;SICQL\05-IMPLANTACAO\DOCUMENTOS_SICQL\SICQL_CUSTÃ³DIA QUALIFICADA_CASO DE DESENVOLVIMENTO.DOC;\MAIN\2;2011-07-01
CÂMBIO, INVESTIMENTOS E MERCADO DE CAPITAIS;SICQL;SICQL\06-AMBIENTE\CASO DE DESENVOLVIMENTO SICQL.DOC;\MAIN\3;2022-08-15
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICRA;SICRA\02-ANALISE_DESIGN\03-3079 - MOCVT\FASE 2\ETAPA 4 - PLANEJAMENTO DAS PRÃ³XIMAS FASES\DOCEB124_SIMDP3079_CASO_DESENVOLVIMENTO_V01.DOC;\MAIN\1;2008-11-04
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICRA;SICRA\04-TESTES\DES\03-3079 - MOCVT\ETAPA 3\DOCEB124_SIMDP3079_CASO_DESENVOLVIMENTO_FASE3_V01.DOC;\MAIN\1;2008-11-04
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICRA;SICRA\06-AMBIENTE\3079 - SICRA MOCVT\DOCEB124_SIMDP3079_CASO_DE_DESENVOLVIMENTO_V01.DOC;\MAIN\1;2008-09-12
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICRA;SICRA\06-AMBIENTE\3079 - SICRA MOCVT\DOCEB124_SIMDP3079_CASO_DESENVOLVIMENTO_V01.DOC;\MAIN\1;2008-11-04
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICRA;SICRA\06-AMBIENTE\3079 - SICRA MOCVT\DOCEB124_SIMDP3079_CASO_DESENVOLVIMENTO_V02.DOC;\MAIN\1;2008-10-28
FUNDOS DE GOVERNO;SICRB;SICRB\01-REQUISITOS\01_CALCULADORA_CARBONO\PPDS_CASO_DESENV_PU.DOC;\MAIN\1;2015-07-29
MEIOS DE PAGAMENTO;SICRD;SICRD\06-AMBIENTE\CASO DE DESENVOLVIMENTO PU.DOC;\MAIN\2;2016-07-21
MEIOS DE PAGAMENTO;SICRD;SICRD\10-GER_SUBCONTRATACAO\MANUAIS\CASO DE DESENVOLVIMENTO PU.DOC;\MAIN\3;2015-04-24
FUNDOS DE GOVERNO;SICRF;SICRF\09-GER_PROJETOS\PROJETOS\267\CASO_DESENVOLVIMENTO\RJ200801054\DOCEB124_CASO_DESENVOLVIMENTO_OSRJ20081054_295600.DOC;\MAIN\1;2009-05-27
FUNDOS DE GOVERNO;SICRH;SICRH\06-AMBIENTE\CASO_DESENVOLVIMENTO_AGIL_SICRH.DOC;\MAIN\2;2022-08-02
HABITAÇÃO;SICRI;SICRI\06-AMBIENTE\SICRI_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-07-05
CLIENTES;SICRM;SICRM\06-AMBIENTE\SICRM_CASO_DESENV(002).DOC;\MAIN\1;2022-01-12
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICRS;SICRS\06-AMBIENTE\SICRS_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2018-10-09
PROGRAMAS SOCIAIS;SICSD;SICSD\06-AMBIENTE\PPDS_CASO_DESENV_AGIL_SICSD.DOC;\MAIN\4;2020-08-10
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\06-AMBIENTE\CSJ_CASO_DESENVOLVIMENTO.DOC;\MAIN\4;2018-02-01
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\09-GER_PROJETOS\MANUTENCOES\SP201408322\INICIAÃ§Ã£O\CASO_DESENVOLVIMENTO_SICSJ.DOC;\MAIN\1;2015-07-16
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\09-GER_PROJETOS\METRICAS\SP201408322\OS 0003\CASO_DESENVOLVIMENTO_SICSJ-VII-1.DOC;\MAIN\1;2015-06-10
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\09-GER_PROJETOS\METRICAS\SP201408322\OS 0004\CASO_DESENVOLVIMENTO_SICSJ-VII-1.DOC;\MAIN\1;2015-06-11
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\09-GER_PROJETOS\METRICAS\SP201408322\OS 0005\CASO_DESENVOLVIMENTO_SICSJ-VII-1.DOC;\MAIN\1;2015-09-25
COMUNIDADE_NAO_ENCONTRADA;SICSJ;SICSJ\09-GER_PROJETOS\METRICAS\SP201500118\0001\CASO_DESENVOLVIMENTO_SICSJ.DOC;\MAIN\1;2015-09-25
COMUNIDADE_NAO_ENCONTRADA;SICSU;SICSU\06-AMBIENTE\SICSU_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2019-04-22
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICTB;SICTB\01-REQUISITOS\OUTROS\SPED_CONTADORIA_DIGITAL\CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2009-01-23
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICTB;SICTB\06-AMBIENTE\CASO_DESENVOLVIMENTO\CASO_ DESENVOLVIMENTO_SEC.DOC;\MAIN\3;2008-06-19
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICTB;SICTB\06-AMBIENTE\SICTB_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2018-10-09
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICTB;SICTB\09-GER_PROJETOS\ACOMPANHAMENTO\ACOMPANHAMENTO_PROJETOS\PACOTE 001\CASO_DESENVOLVIMENTO_SEC.DOC;\MAIN\1;2007-07-10
FUNDOS DE GOVERNO;SICTR;SICTR\06-AMBIENTE\CASO_DESENVOLVIMENTO.DOC;\MAIN\7;2015-07-09
FUNDOS DE GOVERNO;SICTR;SICTR\06-AMBIENTE\CASO_DESENVOLVIMENTO.PPT;\MAIN\8;2009-11-05
ARRECADAÇÃO, CONVÊNIOS E COBRANÇA;SICUC;SICUC\06-AMBIENTE\CASO_DESENVOLVIMENTO_SICUC.DOC;\MAIN\1;2017-08-28
PROGRAMAS SOCIAIS;SICVC;SICVC\06-AMBIENTE\SICVC_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2017-06-26
CONTRATAÇÕES E LOGÍSTICA;SICVE;SICVE\06-AMBIENTE\SICCX_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-12-15
CONTRATAÇÕES E LOGÍSTICA;SICVE;SICVE\09-GER_PROJETOS\PROJETOS\SICCX_CASO_DESENVOLVIMENTO.DOC;\MAIN\2;2012-01-06
CONTROLADORIA, CONTÁBEIS, TRIBUTOS E ORÇAMENTO;SICVR;SICVR\06-AMBIENTE\SICVR_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2022-09-30
FUNDOS DE GOVERNO;SICVS;SICVS\06-AMBIENTE\CASO_DESENVOLVIMENTO_AGIL_SICVS.DOC;\MAIN\4;2022-07-29
COMUNIDADE_NAO_ENCONTRADA;SICXC;SICXC\06-AMBIENTE\CASO_DESENVOLVIMENTO_CAIXA CENTRALIZADO.DOC;\MAIN\5;2016-07-07
MEIOS DE PAGAMENTO;SID00;SID00\09-GER_PROJETOS\PROJETOS\DOCEB124 - CASO DE DESENVOLVIMENTO.DOC;\MAIN\7;2011-02-28
DEPÓSITOS E CAPTAÇÃO;SID01;SID01\06-AMBIENTE\NSGD_SID01_CASODESENVOLVIMENTO.DOC;\MAIN\19;2008-10-09
DEPÓSITOS E CAPTAÇÃO;SID02;SID02\06-AMBIENTE\NSGD_SID02_CASODESENVOLVIMENTO.DOC;\MAIN\17;2008-10-10
DEPÓSITOS E CAPTAÇÃO;SID03;SID03\06-AMBIENTE\NSGD_SID03_CASODESENVOLVIMENTO.DOC;\MAIN\15;2008-08-25
COMUNIDADE_NAO_ENCONTRADA;SID04;SID04\06-AMBIENTE\CANCELADOS\NSGD_SID04_CASO_DESENVOLVIMENTO.DOC;\MAIN\9;2013-09-10
DEPÓSITOS E CAPTAÇÃO;SID05;SID05\06-AMBIENTE\NSGD_SID05_CASODESENVOLVIMENTO.DOC;\MAIN\15;2008-08-25
DEPÓSITOS E CAPTAÇÃO;SID06;SID06\06-AMBIENTE\NSGD_SID06_CASODESENVOLVIMENTO.DOC;\MAIN\15;2008-08-29
DEPÓSITOS E CAPTAÇÃO;SID07;SID07\06-AMBIENTE\NSGD_SID07_CASODESENVOLVIMENTO.DOC;\MAIN\10;2015-04-08
DEPÓSITOS E CAPTAÇÃO;SID08;SID08\06-AMBIENTE\NSGD_SID08_CASODESENVOLVIMENTO.DOC;\MAIN\15;2015-04-08
DEPÓSITOS E CAPTAÇÃO;SID09;SID09\06-AMBIENTE\NSGD_SID09_CASODESENVOLVIMENTO.DOC;\MAIN\4;2015-04-08
DEPÓSITOS E CAPTAÇÃO;SID49;SID49\06-AMBIENTE\NSGD_SID49_CASODESENVOLVIMENTO.DOC;\MAIN\2;2010-01-08
COMUNIDADE_NAO_ENCONTRADA;SID55;SID55\01-REQUISITOS\ARTEFATOS_NAO_MIGRADOS\SID55_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2018-05-21
COMUNIDADE_NAO_ENCONTRADA;SID55;SID55\06-AMBIENTE\SID55_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2018-05-18
COMUNIDADE_NAO_ENCONTRADA;SID55;SID55\09-GER_PROJETOS\MANUTENCOES\SP201801361 - PEDEP BI\OS00001\001_INICIACAO\SID55_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2018-04-20
COMUNIDADE_NAO_ENCONTRADA;SIDAS;SIDAS\09-GER_PROJETOS\PROJETOS\4551\SIDAS_PPDS_CASO_DESENV_AGIL.DOC;\MAIN\2;2018-03-02
FUNDOS DE GOVERNO;SIDAT;SIDAT\09-GER_PROJETOS\MANUTENCOES\CORRETIVA\RJ200801231\OS 003\DOCEB124_CASO_DESENVOLVIMENTO_SIDAT_RJ200801231_SISOL_243747_OS_0003_112009_35.DOC;\MAIN\1;2011-01-06
FUNDOS DE GOVERNO;SIDAT;SIDAT\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\RJ200802772\OS 003\DOCEB124_CASO_DESENVOLVIMENTO_SIDAT_RJ200802772_SISOL_313395.DOC;\MAIN\1;2010-11-30
