VOB;SITE;SERVIDOR;DATA_CRIACAO;DB_SCHEMA;ACL_HABILITADO;FEATURE_LEVEL;USER_OWNER;COMUNIDADE;POSSUI_GRUPO_DOMAIN_USERS;MODELO_SEGURANCA;TAMANHO;PADRAO_PASTAS;POSSUI_PASTA_MODELAGEM;LOCK_PASTA_FONTES;DESC_PASTA_FONTES;LOCK_PASTA_BUILD;DESC_PASTA_BUILD;DATA_ULTIMA_ALTERACAO_VOB;DATA_ULTIMA_ALTERACAO_FONTES;DATA_ULTIMA_ALTERACAO_BUILD
SILOC;SP;CADSVAPRNT002;;80;NAO;9;S725933;CAMBIO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SISUX;BR;CBRSVAPRNT005;;80;NAO;9;S725925;GEPAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICOD;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIEHC;SP;CADSVAPRNT002;;80;NAO;9;S725933;CONTROLADORIA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIPPG;BR;CBRSVAPRNT005;;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAFF;BR;CBRSVAPRNT005;;80;NAO;9;S725925;FUNDOS_GOVERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAUR;BR;CBRSVAPRNT005;;80;NAO;9;S725925;ARRECADACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SINEP;BR;CBRSVAPRNT005;;80;NAO;9;S725925;LOTERIAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIALI;BR;CBRSVAPRNT005;;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICGB;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CONTROLADORIA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIPFB;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CRM_CADASTRO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIRUR;BR;CBRSVAPRNT005;2017-08-08 00:00:00;80;NAO;9;S725925;CREDITO;NAO;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIRMC;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CRM_CADASTRO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
